상권_변화_지표_명,상권_코드_명,상권_구분_코드_명,운영_영업_개월_평균,폐업_영업_개월_평균,부산_운영_영업_개월_평균,부산_폐업_영업_개월_평균,지역구
전통상권,해운대시장,상권확장,0,120,50,44,해운대구
전통상권,학장반도보라상가,다이나믹,30,1,50,44,사상구
전통상권,하이타운상가백화점,다이나믹,26,36,50,44,남구
전통상권,하단시장,상권축소,57,21,50,44,사하구
전통상권,충렬상가시장,상권축소,80,0,50,44,동래구
전통상권,초읍시장,다이나믹,47,1,50,44,부산진구
전통상권,초량시장,정체,77,146,50,44,동구
전통상권,청학시장,상권축소,63,0,50,44,영도구
전통상권,창곡종합시장,상권확장,0,116,50,44,부산진구
전통상권,주례현대무지개상가,다이나믹,26,20,50,44,사상구
전통상권,주례럭키종합상가,다이나믹,47,26,50,44,사상구
전통상권,좌동재래시장,상권축소,104,19,50,44,해운대구
전통상권,종합새시장,상권확장,25,54,50,44,부산진구
전통상권,재송한마음시장,상권축소,174,27,50,44,해운대구
전통상권,재송시장,다이나믹,44,32,50,44,해운대구
전통상권,장전상가시장,다이나믹,32,22,50,44,금정구
전통상권,장성시장,다이나믹,16,11,50,44,금정구
전통상권,장산시장,상권확장,0,46,50,44,해운대구
전통상권,장림시장,정체,86,80,50,44,사하구
전통상권,장림골목시장,다이나믹,0,24,50,44,사하구
전통상권,자유시장,다이나믹,32,25,50,44,동구
전통상권,월드밸리,상권확장,21,56,50,44,중구
전통상권,우일시장,상권축소,55,21,50,44,해운대구
전통상권,우신종합상가,다이나믹,39,23,50,44,동래구
전통상권,우동종합상가시장,다이나믹,17,33,50,44,해운대구
전통상권,용호시장,상권축소,55,30,50,44,남구
전통상권,용호삼성시장,다이나믹,41,28,50,44,남구
전통상권,용호골목시장,다이나믹,14,0,50,44,남구
전통상권,온천인정시장,상권확장,0,129,50,44,동래구
전통상권,온천시장,상권확장,25,75,50,44,동래구
전통상권,온천로터리종합시장,상권확장,0,123,50,44,동래구
전통상권,영주시장,정체,170,98,50,44,중구
전통상권,영남종합시장,다이나믹,19,0,50,44,연제구
전통상권,연천시장,다이나믹,48,29,50,44,연제구
전통상권,연일시장,다이나믹,27,0,50,44,연제구
전통상권,연일골목시장상점가,상권확장,6,66,50,44,연제구
전통상권,연동시장,다이나믹,14,36,50,44,연제구
전통상권,에덴시장,상권축소,71,24,50,44,사하구
전통상권,에덴골목시장,상권확장,0,48,50,44,사하구
전통상권,양정전통시장,상권확장,23,166,50,44,부산진구
전통상권,양정시장,다이나믹,28,31,50,44,부산진구
전통상권,안락상가시장,상권축소,54,7,50,44,동래구
전통상권,아리랑거리,상권축소,71,0,50,44,중구
전통상권,신평종합시장,정체,163,165,50,44,사하구
전통상권,신천지시장,상권축소,68,31,50,44,중구
전통상권,신창상가,다이나믹,19,4,50,44,중구
전통상권,신정시장,상권확장,30,77,50,44,동래구
전통상권,신동아수산물종합시장,상권축소,131,37,50,44,중구
전통상권,수정시장,정체,106,91,50,44,동구
전통상권,수영팔도시장,상권확장,0,126,50,44,수영구
전통상권,수영로타리시장,상권확장,17,63,50,44,수영구
전통상권,수영건설시장,정체,65,51,50,44,수영구
전통상권,수양시장,상권확장,0,45,50,44,부산진구
전통상권,수안인정시장,다이나믹,0,12,50,44,동래구
전통상권,세흥시장,다이나믹,5,3,50,44,수영구
전통상권,성곡종합시장,상권축소,83,5,50,44,부산진구
전통상권,서원시장,다이나믹,45,42,50,44,동래구
전통상권,서면중앙시장,다이나믹,29,33,50,44,부산진구
전통상권,서면종합시장,다이나믹,32,26,50,44,부산진구
전통상권,서면시장,상권확장,14,254,50,44,부산진구
전통상권,서동향토시장,정체,85,64,50,44,금정구
전통상권,서동전통골목시장,상권확장,0,98,50,44,금정구
전통상권,서동시장,다이나믹,11,30,50,44,금정구
전통상권,새영주시장,상권축소,367,0,50,44,중구
전통상권,새당감시장,상권확장,5,82,50,44,부산진구
전통상권,새감만종합시장,상권확장,0,164,50,44,남구
전통상권,삼익비치B상가시장,다이나믹,50,25,50,44,수영구
전통상권,삼익비치A 상가시장,상권축소,69,14,50,44,수영구
전통상권,사하시장,다이나믹,38,1,50,44,사하구
전통상권,사직시장,다이나믹,28,0,50,44,동래구
전통상권,북부산시장,상권확장,0,200,50,44,북구
전통상권,부평깡통시장,상권축소,288,0,50,44,중구
전통상권,부전농수산물새벽시장,다이나믹,0,0,50,44,부산진구
전통상권,부전기장골목시장,상권확장,0,278,50,44,부산진구
전통상권,부산평화시장,상권확장,33,45,50,44,부산진구
전통상권,부산진시장,다이나믹,32,11,50,44,동구
전통상권,부산역지하도상가,다이나믹,32,2,50,44,동구
전통상권,부산새벽시장,상권확장,16,46,50,44,사상구
전통상권,부산산업용품상협동조합,다이나믹,44,20,50,44,사상구
전통상권,부산산업용재유통상가,다이나믹,24,17,50,44,사상구
전통상권,부산데파트,상권축소,68,28,50,44,중구
전통상권,부산남문시장,다이나믹,32,11,50,44,동구
전통상권,부산광역시철강판매협동조합,상권확장,0,79,50,44,강서구
전통상권,부산광역시건축자재판매협동조합,상권축소,60,9,50,44,강서구
전통상권,부곡시장,상권축소,91,24,50,44,금정구
전통상권,복이 있는 덕포시장,상권확장,24,72,50,44,사상구
전통상권,보수종합시장,다이나믹,34,23,50,44,중구
전통상권,범일골목시장,상권확장,0,65,50,44,동구
전통상권,반여시장,상권확장,16,204,50,44,해운대구
전통상권,반송시장,다이나믹,12,31,50,44,해운대구
전통상권,반송골목시장,다이나믹,6,6,50,44,해운대구
전통상권,반송2동시장,상권확장,0,140,50,44,해운대구
전통상권,민락회타운시장,정체,215,62,50,44,수영구
전통상권,민락어패류시장,상권축소,172,33,50,44,수영구
전통상권,민락씨랜드시장,상권축소,64,42,50,44,수영구
전통상권,명지시장,정체,279,89,50,44,강서구
전통상권,명장시장,다이나믹,25,33,50,44,동래구
전통상권,망미중앙시장,상권축소,174,0,50,44,수영구
전통상권,망미종합시장,다이나믹,48,21,50,44,수영구
전통상권,망미새상가시장,다이나믹,9,35,50,44,수영구
전통상권,망미삼성상가시장,다이나믹,18,34,50,44,수영구
전통상권,만덕시장,다이나믹,9,25,50,44,북구
전통상권,만덕2동 제일상가 시장,다이나믹,33,18,50,44,북구
전통상권,동평새시장,상권축소,397,0,50,44,부산진구
전통상권,동방시장,상권축소,51,20,50,44,수영구
전통상권,동래시장,상권확장,0,277,50,44,동래구
전통상권,덕천시장,상권축소,63,33,50,44,북구
전통상권,덕두시장,다이나믹,0,0,50,44,강서구
전통상권,대연중앙시장,정체,82,137,50,44,남구
